ind	loc	latitude	longitude	pop	geo.clust
PA1105_1	P0190	50.7892	5.3784	BNE	GC32
PA1109_1	P0190	50.7892	5.3784	BNE	GC32
PA1123_1	P0194	52.9923	-6.0754	IRE	GC33
PA1124_1	P0194	52.9923	-6.0754	IRE	GC33
PA1192_1	P0227	55.1657	-1.9606	ENG	GC34
PA1193_1	P0227	55.1657	-1.9606	ENG	GC34
PA1199_1	P0222	54.6623	-2.7566	ENG	GC35
PA1207_1	P0228	55.4767	-2.5544	ENG	GC36
PA1233_1	P0093	51.2502	4.8112	BNE	GC37
PA1234_1	P0093	51.2502	4.8112	BNE	GC37
PA1245_1	P0095	51.1678	3.7616	BNE	GC38
PA1251_1	P0096	50.9363	3.6258	BNE	GC39
PA1252_1	P0096	50.9363	3.6258	BNE	GC39
PA1263_1	P0189	50.8887	4.6025	BNE	GC40
PA1270_1	P0195	52.6744	-6.2973	IRE	GC41
PA1272_1	P0195	52.6744	-6.2973	IRE	GC41
PA1284_1	P0197	52.2664	-7.1007	IRE	GC42
PA1284b_1	P0197	52.2664	-7.1007	IRE	GC42
PA1297_1	P0202	52.4479	-8.0636	IRE	GC43
PA1312_1	P0203	52.6686	-8.5583	IRE	GC44
PA1317_1	P0204	52.8123	-8.4563	IRE	GC45
PA1323_1	P0205	52.8941	-8.5529	IRE	GC46
PA1350_1	P0209	53.4796	-9.1319	IRE	GC47
PA1353_1	P0210	53.3474	-8.9437	IRE	GC48
PA1354_1	P0210	53.3474	-8.9437	IRE	GC48
PA1371_1	P0213	53.4355	-9.3071	IRE	GC49
PA1373_1	P0213	53.4355	-9.3071	IRE	GC49
PA1407_1	P0235	54.2649	-8.3346	IRE	GC50
PA1407_2	P0235	54.2649	-8.3346	IRE	GC50
PA1422_1	P0267	55.7514	13.0414	SSD	GC51
PA1424_1	P0267	55.7514	13.0414	SSD	GC51
PA1440_1	P0269	55.6778	13.4202	SSD	GC52
PA1448_1	P0271	55.6942	14.1677	SSD	GC53
PA1449_1	P0271	55.6942	14.1677	SSD	GC53
PA1450_1	P0271	55.6942	14.1677	SSD	GC53
PA1455_1	P0272	55.5792	14.3329	SSD	GC54
PA1456_1	P0272	55.5792	14.3329	SSD	GC54
PA1457_1	P0272	55.5792	14.3329	SSD	GC54
PA1463_1	P0273	56.0558	14.3032	SSD	GC55
PA1464_1	P0273	56.0558	14.3032	SSD	GC55
PA1469_1	P0274	56.0897	14.0485	SSD	GC56
PA1477_1	P0275	56.3155	16.0376	SSD	GC57
