ind	loc	latitude	longitude	pop	Bio01	Bio02	Bio03	Bio04	Bio05	Bio06	Bio07	Bio08	Bio09	Bio10	Bio11	Bio12	Bio13	Bio14	Bio15	Bio16	Bio17	Bio18	Bio19
PA1457_1	P0272	55.5792	14.3329	SSD	8.083333358168602	6.283333331346512	27.55847958108517	618.7242514606767	19	-3.799999952316284	22.799999952316284	9.016666650772095	2.899999996026357	15.950000127156576	1.0166667302449544	599	64	34	19.89640605366053	186	115	153	141
PA1463_1	P0273	56.0558	14.3032	SSD	7.470833299060662	7.391666576266289	29.805106933135317	636.8332784775026	19.5	-5.300000190734863	24.800000190734863	14.833333174387613	2.466666668653488	15.633333206176758	0.09999994436899821	567	60	31	20.91528640659323	172	102	165	122
PA1464_1	P0273	56.0558	14.3032	SSD	7.470833299060662	7.391666576266289	29.805106933135317	636.8332784775026	19.5	-5.300000190734863	24.800000190734863	14.833333174387613	2.466666668653488	15.633333206176758	0.09999994436899821	567	60	31	20.91528640659323	172	102	165	122
PA1469_1	P0274	56.0897	14.0485	SSD	7.5083333278695745	7.866666669646899	30.729167365158617	646.9573302180005	19.899999618530273	-5.699999809265137	25.59999942779541	7.99999996026357	2.483333339293798	15.783333460489908	-0.049999892711639404	670	66	39	18.344487780964826	195	126	189	155
PA1477_1	P0275	56.3155	16.0376	SSD	7.479166607062022	7.041666666666667	29.711673938131597	637.0651973385571	19	-4.699999809265137	23.699999809265137	4.466666758060455	5.633333305517833	15.699999650319418	0.3500000635782878	579	61	35	17.893278284098333	171	111	154	144
PA1492	P0277	56.959	16.4053	SSD	6.9083334145446615	8.01666678239902	30.251571675085092	676.4709066902983	19.700000762939453	-6.800000190734863	26.500000953674316	14.733333428700766	1.466666728258133	15.633333524068197	-0.9166667064030966	556	60	35	18.447234086396662	170	108	162	125
PA1504_1	P0279	57.651	14.8044	SSD	5.341666581730048	7.483333234985669	28.132832315650475	679.0261419698664	18.299999237060547	-8.300000190734863	26.59999942779541	12.949999729792276	0.0666666030883789	14.033332904179892	-2.566666752099991	694	77	37	21.81319838994598	213	123	204	153
PA1505_1	P0279	57.651	14.8044	SSD	5.341666581730048	7.483333234985669	28.132832315650475	679.0261419698664	18.299999237060547	-8.300000190734863	26.59999942779541	12.949999729792276	0.0666666030883789	14.033332904179892	-2.566666752099991	694	77	37	21.81319838994598	213	123	204	153
PA1623_1	P0249	57.6627	-2.3748	SCO	7.979166620410979	6.408333076164126	38.60441786801479	385.3832646554148	16.299999237060547	-0.30000001192092896	16.599999248981476	8.583333412806192	6.783333381017049	12.933333079020182	3.616666608800491	747	77	49	16.167365198541127	225	154	178	190
PA1625_1	P0249	57.6627	-2.3748	SCO	7.979166620410979	6.408333076164126	38.60441786801479	385.3832646554148	16.299999237060547	-0.30000001192092896	16.599999248981476	8.583333412806192	6.783333381017049	12.933333079020182	3.616666608800491	747	77	49	16.167365198541127	225	154	178	190
PA1629_1	P0250	57.634	-3.5668	SCO	8.516666655739149	6.916666736205419	39.52381077935909	400.52427029697463	17.399999618530273	-0.10000000149011612	17.49999962002039	9.083333333333334	9.700000127156576	13.649999936421713	3.949999988079071	652	66	38	17.08126129970822	194	130	160	164
PA1642_1	P0252	57.5949	-4.4213	SCO	8.437500022972623	6.441666636615992	37.67056428604791	404.3520387430266	17.100000381469727	0	17.100000381469727	4.283333361148834	9.833333373069763	13.500000158945719	3.666666679084301	1416	159	76	27.06684135940955	466	236	274	416
PA1645_1	P0252	57.5949	-4.4213	SCO	8.437500022972623	6.441666636615992	37.67056428604791	404.3520387430266	17.100000381469727	0	17.100000381469727	4.283333361148834	9.833333373069763	13.500000158945719	3.666666679084301	1416	159	76	27.06684135940955	466	236	274	416
PA1713_1	P0361	56.4287	-5.2362	SCO	8.991666649778685	5.183333287636439	32.59958047426909	403.2585056212049	17.5	1.600000023841858	15.899999976158142	6.766666611035665	10.43333355585734	14.083333174387613	4.333333313465118	1378	156	65	29.921390815544857	460	214	269	408
PA1715_1	P0361	56.4287	-5.2362	SCO	8.991666649778685	5.183333287636439	32.59958047426909	403.2585056212049	17.5	1.600000023841858	15.899999976158142	6.766666611035665	10.43333355585734	14.083333174387613	4.333333313465118	1378	156	65	29.921390815544857	460	214	269	408
PA1719_1	P0362	55.9195	-4.3345	SCO	8.745833363073567	7.325000194832683	40.24725292146101	405.66139310335575	17.600000381469727	-0.6000000238418579	18.200000405311584	4.75000015894572	10.050000111262003	13.933333237965902	4.116666817416747	1269	151	64	30.538498009748086	428	199	229	392
PA1736a_1	P0412	56.0444	-4.3727	SCO	8.754166654932002	6.575000023469329	37.571429521332	409.45894139421625	17.399999618530273	-0.10000000149011612	17.49999962002039	4.6500000196198625	10.133333444595337	13.966666539510092	4.033333330104749	1424	173	71	31.052050880940484	483	223	255	445
PA1736b_1	P0412	56.0444	-4.3727	SCO	8.754166654932002	6.575000023469329	37.571429521332	409.45894139421625	17.399999618530273	-0.10000000149011612	17.49999962002039	4.6500000196198625	10.133333444595337	13.966666539510092	4.033333330104749	1424	173	71	31.052050880940484	483	223	255	445
PA1749_1	P0319	42.67566	-2.40631	ESP	11.22916666045785	10.658333155016104	40.99359018548119	557.1659533639082	23.799999237060547	-2.200000047683716	25.999999284744263	12.683333237965902	18.3166667620341	18.3166667620341	4.766666725277901	674	75	37	23.526154774841043	201	115	115	180
PA1751_1	P0319	42.67566	-2.40631	ESP	11.22916666045785	10.658333155016104	40.99359018548119	557.1659533639082	23.799999237060547	-2.200000047683716	25.999999284744263	12.683333237965902	18.3166667620341	18.3166667620341	4.766666725277901	674	75	37	23.526154774841043	201	115	115	180
PA2001_1	Rue	48.5654	9.1581	GER	9.016666675607363	8.599999775489172	32.699618681063114	660.0872317160203	21.600000381469727	-4.699999809265137	26.300000190734863	15.68333355585734	2.2500000397364297	17.28333346048991	1.0166667699813843	735	96	39	28.010036162611694	257	126	245	133
PA2002_1	Rue	48.5654	9.1581	GER	9.016666675607363	8.599999775489172	32.699618681063114	660.0872317160203	21.600000381469727	-4.699999809265137	26.300000190734863	15.68333355585734	2.2500000397364297	17.28333346048991	1.0166667699813843	735	96	39	28.010036162611694	257	126	245	133
WaCo9	Waginengen	51.96	5.69	BNE	9.624999977648258	8.033333187301954	35.545723342671785	556.2720852684049	20.299999237060547	-2.299999952316284	22.59999918937683	4.049999992052714	5.550000061591466	16.56666660308838	3	811	80	48	14.771207896460007	230	170	204	204
