ind	loc	latitude	longitude	pop	Bio01	Bio02	Bio03	Bio04	Bio05	Bio06	Bio07	Bio08	Bio09	Bio10	Bio11	Bio12	Bio13	Bio14	Bio15	Bio16	Bio17	Bio18	Bio19
PA0470_1	P0074	50.3884	8.066	GEN	9.662499953682223	8.658333441863457	32.42821594885825	644.9669658130261	22.299999237060547	-4.400000095367432	26.69999933242798	16.299999793370564	5.383333293100198	17.84999990463257	1.9666666090488434	642	68	43	14.22354610623073	188	136	176	154
PA0471_1	P0074	50.3884	8.066	GEN	9.662499953682223	8.658333441863457	32.42821594885825	644.9669658130261	22.299999237060547	-4.400000095367432	26.69999933242798	16.299999793370564	5.383333293100198	17.84999990463257	1.9666666090488434	642	68	43	14.22354610623073	188	136	176	154
PA0477_1	P0075	50.0905	8.5643	GEN	10.454166678711772	7.741666737943888	30.123216823268557	661.7760483742677	22.5	-3.200000047683716	25.700000047683716	17.14999993642171	3.7000000874201455	18.78333346048991	2.4833333417773247	600	63	38	15.325622288915993	181	124	171	134
PA0494_1	P0073	50.2912	7.2644	GEN	8.820833445837101	7.791666743655999	31.545209732079805	628.7594626578303	20.5	-4.199999809265137	24.699999809265137	14.866667032241821	4.483333244919777	16.733333587646484	1.4166666964689891	706	68	48	10.199426985067678	191	154	185	175
PA0495_1	P0074	50.3884	8.066	GEN	9.662499953682223	8.658333441863457	32.42821594885825	644.9669658130261	22.299999237060547	-4.400000095367432	26.69999933242798	16.299999793370564	5.383333293100198	17.84999990463257	1.9666666090488434	642	68	43	14.22354610623073	188	136	176	154
PA0495_2	P0074	50.3884	8.066	GEN	9.662499953682223	8.658333441863457	32.42821594885825	644.9669658130261	22.299999237060547	-4.400000095367432	26.69999933242798	16.299999793370564	5.383333293100198	17.84999990463257	1.9666666090488434	642	68	43	14.22354610623073	188	136	176	154
PA0660_1	P0153	48.8061	2.1652	FRN	10.825000012914339	7.616666863361995	33.553597917909144	561.5623512384627	21.600000381469727	-1.100000023841858	22.700000405311584	16.1833332379659	6.933333297570546	17.950000127156574	4.199999988079071	641	63	42	10.785581783157943	175	147	154	159
PA0661_1	P0153	48.8061	2.1652	FRN	10.825000012914339	7.616666863361995	33.553597917909144	561.5623512384627	21.600000381469727	-1.100000023841858	22.700000405311584	16.1833332379659	6.933333297570546	17.950000127156574	4.199999988079071	641	63	42	10.785581783157943	175	147	154	159
PA0681_1	P0119	48.5294	9.0586	GES	9.416666657974323	8.533333398401737	32.201258107176365	668.4423339206822	22	-4.5	26.5	16.200000127156574	2.5666666676600776	17.733333428700764	1.2833332618077595	720	94	38	28.625649644097212	255	123	241	131
PA0682_1	P0119	48.5294	9.0586	GES	9.416666657974323	8.533333398401737	32.201258107176365	668.4423339206822	22	-4.5	26.5	16.200000127156574	2.5666666676600776	17.733333428700764	1.2833332618077595	720	94	38	28.625649644097212	255	123	241	131
